,,A00 Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,Retail Price,63475,58403,53818.200000000004,49671.880000000005,45920.192,42523.6728,39446.80552,36657.624968000004,34127.3624712,31830.126224080002,29742.613601672,27843.852241504803,,,,,,,,,,,,
,,Purchase Tax,0,0,5381.820000000001,4967.188000000001,4592.019200000001,4252.36728,3944.6805520000003,3665.7624968000005,3412.7362471200004,3183.0126224080004,2974.2613601672,2784.3852241504806,,,,,,,,,,,,
,,Consumer Final Price,63475,58403,59200.020000000004,54639.06800000001,50512.211200000005,46776.04008,43391.486072,40323.387464800006,37540.098718320005,35013.138846488,32716.874961839203,30628.237465655282,,,,,,,,,,,,
,,Range/Day (km),10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
,,Electricity/hundred KM (Kwh),11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,,,,,,,,,,,,
,,Electricity Price (RMB/Kwh),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
,,NPV Energy Cost,2449.0414425926415,2377.710138439458,2308.4564450868515,2241.219849598885,2175.9416015523157,2112.564661701277,2051.0336521371623,1991.2948079001578,1933.2959300001535,1876.9863398059742,1822.316834763082,1769.2396454010504,,,,,,,,,,,,
,,NPV Maintenance Cost,300,291,282.27,273.8019,265.58784299999996,257.62020770999993,249.89160147869993,242.39485343433893,235.12300783130874,228.06931759636947,221.22723806847839,214.59042092642403,,,,,,,,,,,,
,,NPV Insurance Cost,25305.9903432754,21657.07245861413,21026.283940402063,20413.867903302973,19819.289226507743,19242.028375250236,18681.58094684489,18137.457229946493,17609.18177664709,17096.292987036006,16598.342705860196,16114.895830932232,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,Residual Value after Depreciation,9521.25,8760.449999999999,8072.7300000000005,7450.782,6888.0288,6378.55092,5917.020828,5498.6437452,5119.10437068,4774.518933612,4461.3920402508,4176.577836225721,,,,,,,,,,,,
,,TCO ,82008.78178586805,73968.3325970536,74744.30038548891,70117.17565290186,65885.00107106006,62009.70240466152,58456.97144446076,55195.89061088099,52198.59506211856,49439.96855731434,46897.369700280164,44550.385526689264,,,,,,,,,,,,
,,A00 Class ICEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,Retail Price,51066,51366,51672,51984.12,52302.4824,52627.212048,52958.43628896,53296.2850147392,53640.89071503398,53992.388529334654,54350.916299921344,54716.61462591978,,,,,,,,,,,,
,,Purchase Tax,5500,5530,5560.6,5591.812000000001,5623.64824,5656.121204800001,5689.243628896001,5723.02850147392,5757.489071503398,5792.638852933465,5828.491629992135,5865.061462591978,,,,,,,,,,,,
,,Consumer Final Price,60500,60830,61166.6,61509.932,61860.13064,62217.3332528,62581.679917856,62953.31351621312,63332.37978653738,63719.02738226812,64113.407929913476,64515.676088511755,,,,,,,,,,,,
,,Range/Day (km),10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
,,Oil/hundred KM (L/100km),5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
,,NPV Energy Cost,9790.88766381325,9505.716178459466,9228.850658698511,8960.049183202438,8699.076876895571,8445.705705723856,8199.714277401801,7960.887647962914,7729.017133944578,7503.900130043279,7285.339932080854,7073.145565127043,,,,,,,,,,,,
,,NPV Maintenance Cost,4200,4074,3951.7799999999997,3833.2265999999995,3718.2298019999994,3606.6829079399995,3498.4824207017996,3393.5279480807453,3291.7221096383228,3192.970446349173,3097.1813329586976,3004.2658929699364,,,,,,,,,,,,
,,NPV Insurance Cost,21690.848865664626,21059.076568606433,20445.705406414014,19850.199423702925,19272.038275439732,18710.716772271586,18165.74443909863,17636.645086503522,17122.956394663615,16624.22950938215,16140.02864988558,15669.930728044254,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,,
,,Residual Value after Depreciation,17873.1,17978.1,18085.199999999997,18194.442,18305.86884,18419.5242168,18535.452701136,18653.69975515872,18774.31175026189,18897.335985267127,19022.82070497247,19150.81511907192,,,,,,,,,,,,
,,TCO ,78308.63652947787,77490.69274706588,76707.73606511252,75958.96520690537,75243.60675433531,74560.91442193545,73910.16835392223,73290.6744436016,72701.76367452202,72142.7914827756,71613.13713986614,71112.20315558107,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,A00 (10km/day),3700.145256390184,-3522.3601500122895,-1963.4356796236098,-5841.78955400351,-9358.605683275251,-12551.21201727393,-15453.196909461469,-18094.783832720612,-20503.16861240346,-22702.82292546126,-24715.76743958598,-26561.817628891804,,,,,,,,,,,,
,,TCO 2019,Price,10km/day,20km/day,30km/day,40km/day,60km/day,80km/day,300km/day,,,,,,,,,,,,,,,,
,,A00 BEV,63475,82008.78178586805,85057.82322846068,88206.8646710533,91155.90611364596,97253.98899883125,103352.07188401654,129196.86153983415,,,,,,,,,,,,,,,,
,,A00 ICEV,51066,78308.63652947787,93499.52419329112,108690.41185710437,123881.29952091762,154263.0748485441,184044.8501761706,346207.95927340095,,,,,,,,,,,,,,,,
,,A BEV,160144.44444444444,,174024.47382941956,177680.2135015141,181135.9531736087,188247.43251779783,195358.91186198697,228358.764603896,,,,,,,,,,,,,,,,
,,A ICEV,140427.77777777778,,166010.01269492877,182494.03646528337,198978.06023563803,231946.10777634723,264314.15531705646,442230.55137179093,,,,,,,,,,,,,,,,
,,B BEV,180670.83333333334,,191471.90438497512,195127.64405706967,198583.38372916426,205694.8630733534,212806.3424175425,242504.22627748433,,,,,,,,,,,,,,,,
,,B ICEV,144616.66666666666,,172846.3539517136,191177.71501712734,209509.07608254108,246171.79821336857,282234.520344196,488279.5466236766,,,,,,,,,,,,,,,,
,,C BEV,516685.71428571426,,478382.3993584198,482387.0621124747,486391.7248665297,494601.0503746397,502810.3758827497,538860.538409249,,,,,,,,,,,,,,,,
,,C ICEV,532285.7142857143,,463598.13966599945,481929.50073141314,500260.8617968268,536923.5839276543,572986.3060584818,768978.5941283178,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,
,,Annual range,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,
,,Electricity amount,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,
,,Electricity Cost,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,
,,Discounted Electricity Cost,338.72,328.8543689320389,319.27608634178534,309.97678285610226,300.9483328700022,292.1828474466041,283.67266742388745,275.4103567222208,267.38869584681635,259.60067557943336,252.0394908538188,244.6985348095328,237.5713930189639,230.65183788248925,223.93382318688273,217.41147882221622,211.07910565263717,204.93117053654092,198.96230149178731,193.16728300173526,187.5410514579954,182.0786907359179,176.77542789894937,
,,Electricity Cost NPV,2449.0414425926415,2377.710138439458,2308.4564450868515,2241.219849598885,2175.9416015523157,2112.564661701277,2051.0336521371623,1991.2948079001578,1933.2959300001535,1876.9863398059742,1822.316834763082,1769.2396454010504,1717.7083935932526,1667.678052032284,1619.1049048857128,1571.9465095977796,1354.5350307755632,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,
,,Maintenance Cost,400,,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,
,,Discounted Insurance Cost,3500,3398.0582524271845,3299.0856819681403,3202.9958077360584,3109.7046677049116,3019.1307453445743,2931.1948983927905,2845.820289701738,2762.932320098775,2682.458563202694,2604.328702138538,2528.474468095668,2454.8295806754063,2383.3296899761226,2313.9123203651675,2246.5168158885117,2181.0842872704,2117.5575604566993,2055.8811266569896,1996.0010938417374,1937.8651396521723,1881.422465681721,1826.6237530890494,
,,Insurance cost NPV,25305.9903432754,21657.07245861413,21026.283940402063,20413.867903302973,19819.289226507743,19242.028375250236,18681.58094684489,18137.457229946493,17609.18177664709,17096.292987036006,16598.342705860196,16114.895830932232,,,,,,,,,,,,
,,Annual range,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,
,,Oil amount,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,
,,Oil cost,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,
,,,1354.1499999999999,1314.7087378640774,1276.4162503534733,1239.2390780130809,1203.1447359350302,1168.1016853738156,1134.0793061881704,1101.0478700856024,1068.9785146462161,1037.8432181031224,1007.6147748574003,978.2667717062138,949.7735647633145,922.1102570517618,895.2526767492832,869.1773560672651,843.8615107449178,819.2830201406969,795.4204079035892,772.2528232073681,749.7600225314254,727.9223519722577,706.7207300701531,
,,,9790.88766381325,9505.716178459466,9228.850658698511,8960.049183202438,8699.076876895571,8445.705705723856,8199.714277401801,7960.887647962914,7729.017133944578,7503.900130043279,7285.339932080854,7073.145565127043,,,,,,,,,,,,
,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
,,,3000,2912.6213592233007,2827.787727401263,2745.4249780594787,2665.461143747067,2587.826353152492,2512.4527700509634,2439.274534030061,2368.2277029418074,2299.250197030881,2232.2817446901754,2167.2638297962867,2104.1396405789196,2042.8540199795336,1983.3534174558577,1925.585842190153,1869.500817660343,1815.0493375343137,1762.1838228488482,1710.858080435775,1661.0272625590048,1612.6478277271895,1565.6775026477567,
,,,21690.848865664626,21059.076568606433,20445.705406414014,19850.199423702925,19272.038275439732,18710.716772271586,18165.74443909863,17636.645086503522,17122.956394663615,16624.22950938215,16140.02864988558,15669.930728044254,,,,,,,,,,,,
